FIPS,LISA_CL,Normalized Median Age,Normalized Male Median Age,Normalized Median Female Age,Normalized Sex Ratio (males per 100 females),Normalized Workers 16 years and over,"Normalized Management, business, science, and arts occupations; Estimate; Civilian employed population 16 years and over",Normalized Service occupations; Estimate; Civilian employed population 16 years and over,Normalized Sales and office occupations; Estimate; Civilian employed population 16 years and over,Normalized Natural resources construction and maintenance occupations; Estimate; Civilian employed population 16 years and over,"Normalized Production, transportation, and material moving occupations; Estimate; Civilian employed population 16 years and over","Normalized Cars, truck, or Van to work","Normalized car, truck, or van drove alone","Normalized car, truck, or van carpool",Normalized public transportation to work,Normalized walked to work,Normalized biked to work,"Normalized taxi, motorcycle, or other",Normalized worked at home,Normalized mean travel time to work (minutes),Normalized Total; Estimate; Population 45 to 64 years,Normalized Total; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_5 years and over with earnings - Less than high school graduate,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ver with earnings - High school graduate (includes equivalency),Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ars and over with earnings - Some college or associate's degree,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ Population 25 years and over with earnings - Bachelor's degree,Normlized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS_ years and over with earnings - Graduate or professional degree,Normalized Household Mean Income,Normalized Social Security Income,Normalized Cash public assistance income,Normalized per capita income per household
2020,1,0.253932584,0.249438202,0.254545455,0.112963593,0.034428218,0.478647687,0.393292683,0.604562738,0.261494253,0.182170543,0.868335147,0.797068771,0.391447368,0.029126214,0.049773756,0.083916084,0.072386059,0.095238095,0.351485149,0.029940671,0.037217644,0.891143911,0.036532605,0.530398288,0.388557945,0.390406118,0.542643384,0.6249633,0.669772119,0.419478266,0.71877551,0.22149667,0.433381089
2050,1,0.119101124,0.139325843,0.093181818,0.132017693,0.001252798,0.393238434,0.423780488,0.657794677,0.270114943,0.222868217,0.341675734,0.224351747,0.473684211,0.006472492,0.479638009,0.034965035,0.643431635,0.110275689,0.061881188,0.001470715,0.001686467,0.754612546,0.000520314,0.197601314,0.135492814,0.063790073,0.389654591,0.7402318,0.767409171,0.156401548,0.624198251,0.16422881,0.224404221
2090,1,0.206741573,0.197752809,0.211363636,0.153453556,0.011225745,0.432384342,0.365853659,0.566539924,0.379310345,0.189922481,0.889009793,0.789177001,0.476973684,0.017799353,0.057315234,0.083916084,0.045576408,0.077694236,0.349009901,0.009265309,0.01160862,0.904059041,0.010302492,0.49795133,0.427699213,0.373570613,0.559308262,0.5334776,0.605255328,0.156164262,0.629912536,0.239715293,0.187312181
2122,1,0.426966292,0.424719101,0.425,0.130656686,0.005387338,0.318505338,0.43597561,0.520912548,0.459770115,0.240310078,0.770402612,0.714768884,0.335526316,0.01618123,0.082956259,0.034965035,0.193029491,0.192982456,0.366336634,0.006974089,0.008617448,0.880073801,0.005280983,0.427002638,0.372997145,0.398216778,0.483695402,0.5106028,0.533443461,0.304572217,0.81271137,0.149471072,0.356296736
2164,1,0.233707865,0.312359551,0.156818182,0.113303845,0.000119791,0.346975089,0.463414634,0.239543726,0.502873563,0.304263566,0.24265506,0.18151071,0.296052632,0.011326861,0.499245852,0.06993007,0.833780161,0.110275689,0.051980198,0.000154812,0.00018721,0.826568266,5.46E-05,0.154322114,0.045279781,0.027147025,0.414306959,0.4157787,0.512276454,0.226764449,0.609212828,0.146859083,0.258927947
2290,1,0.307865169,0.328089888,0.265909091,0.158897584,0.000432337,0.386120996,0.442073171,0.44486692,0.431034483,0.218992248,0.304678999,0.26042841,0.256578947,0.004854369,0.570135747,0.020979021,0.504021448,0.182957393,0.108910891,0.000580744,0.00066756,0.758302583,0.00021987,0.135560606,0.143991023,0.039143908,0.329541448,0.5201106,0.538994285,0.310719423,0.712886297,0.140067912,0.368456915
4003,1,0.42247191,0.397752809,0.447727273,0.111942838,0.010082719,0.364768683,0.634146341,0.593155894,0.290229885,0.139534884,0.87921654,0.829763247,0.332236842,0.009708738,0.055806938,0.027972028,0.053619303,0.127819549,0.361386139,0.012864096,0.014751868,0.756457565,0.01050734,0.225204452,0.193726176,0.105761041,0.347708771,0.4931362,0.423617168,0.105244034,0.472303207,0.136411127,0.16685303
4007,1,0.615730337,0.595505618,0.638636364,0.094930248,0.003804352,0.316725979,0.536585366,0.52851711,0.448275862,0.178294574,0.885745375,0.811724915,0.398026316,0.003236246,0.055806938,0.006993007,0.045576408,0.135338346,0.366336634,0.005939626,0.006713356,0.732472325,0.003593035,0.223993497,0.28598538,0.225023106,0.283609548,0.3616831,0.34874773,0.212297379,0.51451895,0.162073919,0.232441121
4012,1,0.75505618,0.761797753,0.747727273,0.113644097,0.001355601,0.227758007,0.570121951,0.494296578,0.568965517,0.191860465,0.824809576,0.782412627,0.302631579,0.004854369,0.092006033,0.034965035,0.048257373,0.205513784,0.183168317,0.001947458,0.001823335,0.463099631,0.000703312,0.117479223,0.26359301,0.051177036,0.35425514,0.4092621,0.283143347,0.507237242,0.773236152,0.215162596,0.486005311
4013,1,0.321348315,0.307865169,0.331818182,0.091527731,0.401669585,0.421708185,0.408536585,0.730038023,0.24137931,0.184108527,0.871599565,0.812852311,0.355263158,0.037216828,0.022624434,0.062937063,0.048257373,0.152882206,0.512376238,0.389872189,0.452498106,0.776752768,0.42037692,0.366554418,0.292899457,0.253329951,0.445781655,0.5534412,0.566245652,0.209071764,0.719708455,0.099059684,0.262876511
