FIPS,LISA_CL,Normalized Median Age,Normalized Male Median Age,Normalized Median Female Age,Normalized Sex Ratio (males per 100 females),Normalized Workers 16 years and over,"Normalized Management, business, science, and arts occupations; Estimate; Civilian employed population 16 years and over",Normalized Service occupations; Estimate; Civilian employed population 16 years and over,Normalized Sales and office occupations; Estimate; Civilian employed population 16 years and over,Normalized Natural resources construction and maintenance occupations; Estimate; Civilian employed population 16 years and over,"Normalized Production, transportation, and material moving occupations; Estimate; Civilian employed population 16 years and over","Normalized Cars, truck, or Van to work","Normalized car, truck, or van drove alone","Normalized car, truck, or van carpool",Normalized public transportation to work,Normalized walked to work,Normalized biked to work,"Normalized taxi, motorcycle, or other",Normalized worked at home,Normalized mean travel time to work (minutes),Normalized Total; Estimate; Population 45 to 64 years,Normalized Total; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_5 years and over with earnings - Less than high school graduate,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ver with earnings - High school graduate (includes equivalency),Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ars and over with earnings - Some college or associate's degree,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ Population 25 years and over with earnings - Bachelor's degree,Normlized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS_ years and over with earnings - Graduate or professional degree,Normalized Household Mean Income,Normalized Social Security Income,Normalized Cash public assistance income,Normalized per capita income per household
53011,1,0.366292135,0.357303371,0.368181818,0.090847227,0.044213419,0.391459075,0.384146341,0.627376426,0.270114943,0.265503876,0.875952122,0.837655017,0.296052632,0.037216828,0.028657617,0.027972028,0.029490617,0.162907268,0.522277228,0.047546783,0.058626756,0.876383764,0.047766473,0.402468358,0.374020231,0.312535112,0.449599092,0.5765163,0.549706042,0.203102523,0.531078717,0.17731915,0.245824306
27001,1,0.721348315,0.728089888,0.713636364,0.112623341,0.001339919,0.290035587,0.5,0.6121673,0.364942529,0.248062016,0.885745375,0.838782413,0.322368421,0.004854369,0.061840121,0.006993007,0.034852547,0.135338346,0.507425743,0.001949045,0.00239493,0.86900369,0.001066576,0.211452648,0.314813287,0.145339881,0.357765956,0.3476751,0.449924587,0.334336858,0.630553936,0.157698838,0.377664407
53045,1,0.548314607,0.512359551,0.586363636,0.120108881,0.004821924,0.24911032,0.512195122,0.570342205,0.462643678,0.238372093,0.911860718,0.80270575,0.506578947,0.03236246,0.019607843,0.006993007,0.026809651,0.110275689,0.668316832,0.007226155,0.008605387,0.817343173,0.004264937,0.277076456,0.267982377,0.235715192,0.416943904,0.4073525,0.474959728,0.237983657,0.644198251,0.080514562,0.289974841
1083,1,0.393258427,0.382022472,0.409090909,0.099353522,0.008264724,0.368327402,0.323170732,0.547528517,0.362068966,0.30620155,0.964091404,0.93686584,0.273026316,0.001618123,0.007541478,0,0.016085791,0.067669173,0.512376238,0.009898451,0.011069538,0.715867159,0.008390577,0.338685865,0.284533259,0.223337743,0.425253346,0.5382448,0.533546064,0.164402557,0.611020408,0.090636019,0.233506884
55055,1,0.404494382,0.397752809,0.409090909,0.097992514,0.009468952,0.322064057,0.402439024,0.55513308,0.261494253,0.374031008,0.90968444,0.868094701,0.309210526,0.004854369,0.046757164,0.048951049,0.018766756,0.102756892,0.452970297,0.009553101,0.011594461,0.850553506,0.007261181,0.352868968,0.304054389,0.295282797,0.46882426,0.4536228,0.464330053,0.252198609,0.712244898,0.178398851,0.289992313
8067,1,0.393258427,0.386516854,0.4,0.106498809,0.006027677,0.476868327,0.432926829,0.547528517,0.327586207,0.143410853,0.813928183,0.758737317,0.338815789,0.029126214,0.076923077,0.202797203,0.040214477,0.162907268,0.400990099,0.006240121,0.007816167,0.904059041,0.009134858,0.349202926,0.383261002,0.279190301,0.391570975,0.4095692,0.407764998,0.240831096,0.733994169,0.186038919,0.305140122
53067,1,0.388764045,0.368539326,0.404545455,0.085062947,0.026410482,0.491103203,0.368902439,0.63878327,0.232758621,0.186046512,0.883569097,0.832018038,0.335526316,0.03236246,0.036199095,0.076923077,0.032171582,0.120300752,0.492574257,0.028372702,0.035530652,0.904059041,0.033058382,0.436690278,0.34898764,0.281763651,0.504698974,0.5508506,0.551542637,0.316859215,0.641574344,0.169452788,0.355091201
1069,1,0.4,0.375280899,0.420454545,0.071793127,0.009437807,0.318505338,0.408536585,0.718631179,0.290229885,0.269379845,0.961915125,0.951521984,0.226973684,0.003236246,0.012066365,0.006993007,0.024128686,0.055137845,0.413366337,0.010890043,0.012413048,0.747232472,0.007960396,0.259924025,0.256068382,0.179210235,0.363269812,0.4615282,0.471419923,0.237501668,0.705947522,0.083583649,0.294028234
13087,1,0.366292135,0.328089888,0.425,0.079618918,0.00212967,0.295373665,0.329268293,0.66539924,0.390804598,0.30620155,0.919477693,0.868094701,0.335526316,0.009708738,0.010558069,0.013986014,0.120643432,0.055137845,0.465346535,0.00279297,0.002951317,0.63099631,0.001556845,0.249672379,0.331562185,0.194342255,0.323960936,0.418396,0.378553913,0.197600439,0.606530612,0.15240956,0.256481934
41033,1,0.593258427,0.557303371,0.622727273,0.085062947,0.006254409,0.288256228,0.493902439,0.619771863,0.272988506,0.310077519,0.891186072,0.866967306,0.256578947,0.008090615,0.037707391,0.048951049,0.040214477,0.135338346,0.376237624,0.009577315,0.011131417,0.778597786,0.00560874,0.177131198,0.27987987,0.157282398,0.278335659,0.3695217,0.435724326,0.123648579,0.692244898,0.113621523,0.188814732
6081,1,0.404494382,0.384269663,0.418181818,0.088805716,0.08441209,0.583629893,0.399390244,0.558935361,0.175287356,0.145348837,0.788900979,0.730552424,0.345394737,0.163430421,0.037707391,0.090909091,0.032171582,0.125313283,0.561881188,0.082483123,0.098003351,0.813653137,0.130826903,0.606539157,0.336248577,0.308747576,0.549772334,0.7436503,0.958117439,0.13283602,0.6703207,0.16422881,0.176986512
29181,1,0.465168539,0.453932584,0.475,0.092208234,0.001115583,0.220640569,0.536585366,0.585551331,0.298850575,0.356589147,0.917301415,0.830890643,0.440789474,0,0.045248869,0,0.050938338,0.085213033,0.477722772,0.001493739,0.001618295,0.667896679,0.000655514,0.120747143,0.239798023,0.0853011,0.234074846,0.3731272,0.418815345,0.178602678,0.619475219,0.123351182,0.243168635
12103,1,0.582022472,0.557303371,0.6,0.07247363,0.092363396,0.432384342,0.420731707,0.783269962,0.206896552,0.160852713,0.871599565,0.844419391,0.259868421,0.029126214,0.02413273,0.076923077,0.048257373,0.155388471,0.48019802,0.112625051,0.136583908,0.848708487,0.115489245,0.312924042,0.293377997,0.212482557,0.384089411,0.4795823,0.494762115,0.13085616,0.599008746,0.112315528,0.162764694
