FIPS,LISA_CL,Percent,Normalized Median Age,Normalized Male Median Age,Normalized Median Female Age,Normalized Sex Ratio (males per 100 females),Normalized Workers 16 years and over,"Normalized Management, business, science, and arts occupations; Estimate; Civilian employed population 16 years and over",Normalized Service occupations; Estimate; Civilian employed population 16 years and over,Normalized Sales and office occupations; Estimate; Civilian employed population 16 years and over,Normalized Natural resources construction and maintenance occupations; Estimate; Civilian employed population 16 years and over,"Normalized Production, transportation, and material moving occupations; Estimate; Civilian employed population 16 years and over","Normalized Cars, truck, or Van to work","Normalized car, truck, or van drove alone","Normalized car, truck, or van carpool",Normalized public transportation to work,Normalized walked to work,Normalized biked to work,"Normalized taxi, motorcycle, or other",Normalized worked at home,Normalized mean travel time to work (minutes),Normalized Total; Estimate; Population 45 to 64 years,Normalized Total; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - High school graduate or higher,Normalized Percent; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_5 years and over with earnings - Less than high school graduate,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ver with earnings - High school graduate (includes equivalency),Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ars and over with earnings - Some college or associate's degree,Normalized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTH_ Population 25 years and over with earnings - Bachelor's degree,Normlized Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS_ years and over with earnings - Graduate or professional degree,Normalized Household Mean Income,Normalized Social Security Income,Normalized Cash public assistance income,Normalized per capita income per household
1001,0,2.692307692,0.366292135,0.350561798,0.377272727,0.083361688,0.005284536,0.364768683,0.384146341,0.631178707,0.227011494,0.323643411,0.963003264,0.926719278,0.302631579,0.001618123,0.007541478,0.006993007,0.037533512,0.052631579,0.524752475,0.00572408,0.006670879,0.782287823,0.005069307,0.347660203,0.289896206,0.234011707,0.446011621,0.5158641,0.469932179,0.190963829,0.65877551,0.187606112,0.242504717
1003,0,2.127659574,0.46741573,0.449438202,0.481818182,0.083021436,0.018790017,0.371886121,0.37195122,0.730038023,0.301724138,0.220930233,0.92383025,0.901916573,0.25,0.003236246,0.016591252,0.020979021,0.026809651,0.127819549,0.551980198,0.021916241,0.02646327,0.841328413,0.022309321,0.282600401,0.26095279,0.191007774,0.355282322,0.5038726,0.445245888,0.247430631,0.724023324,0.160963824,0.272835278
1005,0,0,0.386516854,0.364044944,0.440909091,0.15039129,0.001904463,0.238434164,0.323170732,0.55513308,0.33908046,0.46124031,0.947769314,0.88162345,0.384868421,0.006472492,0.031674208,0,0.045576408,0.032581454,0.465346535,0.002780268,0.002959183,0.642066421,0.001306931,0.19363668,0.308097226,0.118990232,0.314547657,0.4109313,0.428849923,0.281785285,0.656268222,0.10467546,0.294954225
1007,0,0,0.420224719,0.375280899,0.45,0.150731541,0.001794908,0.142348754,0.390243902,0.437262357,0.477011494,0.488372093,0.967355822,0.907553551,0.368421053,0.008090615,0.007541478,0,0.037533512,0.030075188,0.599009901,0.002459529,0.002772497,0.728782288,0.001110277,0.253769719,0.187587664,0.277051884,0.360908826,0.2486179,0.395709141,0.301257619,0.737376093,0.209808019,0.328167587
1009,1,0,0.433707865,0.424719101,0.445454545,0.092548486,0.004641584,0.284697509,0.234756098,0.6121673,0.41954023,0.38372093,0.967355822,0.918827508,0.332236842,0.003236246,0.013574661,0,0.010723861,0.055137845,0.747524752,0.0061516,0.006593268,0.651291513,0.002694435,0.343596039,0.339944885,0.262101086,0.488218069,0.4976631,0.42233463,0.197600439,0.682565598,0.240760089,0.277954434
1011,0,1.578192253,0.397752809,0.375280899,0.447727273,0.161279347,0.000898652,0.074733096,0.384146341,0.452471483,0.451149425,0.57751938,0.885745375,0.809470124,0.404605263,0.006472492,0.084464555,0,0.072386059,0.065162907,0.532178218,0.001121793,0.000918747,0.302583026,0.000368727,0.174941526,0.33233775,0.16860876,0.275468748,0.4165799,0.432414352,0.140444023,0.622798834,0.134843934,0.184167307
1013,0,0,0.397752809,0.415730337,0.431818182,0.059884314,0.001666623,0.263345196,0.37195122,0.475285171,0.316091954,0.457364341,0.968443961,0.907553551,0.371710526,0,0.012066365,0,0.016085791,0.055137845,0.452970297,0.002126881,0.002394406,0.726937269,0.001070673,0.212016655,0.264962624,0.138707164,0.323592991,0.4346073,0.429834912,0.115899687,0.490728863,0.102847068,0.139125725
1015,0,0,0.395505618,0.37752809,0.409090909,0.074174889,0.009966195,0.266903915,0.384146341,0.615969582,0.298850575,0.387596899,0.948857454,0.906426156,0.315789474,0.003236246,0.021116139,0,0.029490617,0.065162907,0.487623762,0.012450867,0.013692057,0.6900369,0.00724889,0.236020105,0.210508077,0.189612367,0.357152713,0.3982186,0.406718447,0.17954441,0.667346939,0.220517174,0.169508701
1017,0,1.780626781,0.485393258,0.456179775,0.486363636,0.071793127,0.003007196,0.174377224,0.265243902,0.669201521,0.336206897,0.511627907,0.970620239,0.940248027,0.282894737,0.003236246,0.010558069,0,0.008042895,0.055137845,0.485148515,0.003788531,0.004081922,0.660516605,0.001293274,0.236932469,0.300787116,0.185661731,0.372391801,0.4764308,0.414947211,0.201752955,0.622973761,0.249379653,0.206688098
1019,0,3.260869565,0.543820225,0.537078652,0.545454545,0.095610752,0.002159074,0.314946619,0.332317073,0.384030418,0.364942529,0.441860465,0.971708379,0.901916573,0.398026316,0.008090615,0.009049774,0,0.008042895,0.047619048,0.561881188,0.003127603,0.003409642,0.677121771,0.001589621,0.275600086,0.292057887,0.238342908,0.378263602,0.4594984,0.438053415,0.242054606,0.700699708,0.115776414,0.31511636
1021,0,0,0.386516854,0.379775281,0.386363636,0.088465464,0.003760356,0.231316726,0.335365854,0.6121673,0.448275862,0.358527132,0.958650707,0.882750846,0.414473684,0.001618123,0.012066365,0,0.045576408,0.045112782,0.670792079,0.004489156,0.004945607,0.693726937,0.002559235,0.27440572,0.379201663,0.226110437,0.435831787,0.4499506,0.402799011,0.198645983,0.709504373,0.191328196,0.205237962
1023,0,0,0.530337079,0.514606742,0.570454545,0.070091868,0.00089386,0.215302491,0.31097561,0.460076046,0.517241379,0.42248062,0.951033732,0.900789177,0.335526316,0,0.030165913,0,0.048257373,0.035087719,0.665841584,0.001532243,0.001675979,0.682656827,0.000695118,0.258066121,0.287848535,0.241550534,0.309473071,0.4110114,0.256507598,0.085074671,0.416676385,0.064124331,0.150656929
1025,0,0,0.460674157,0.435955056,0.461363636,0.063286832,0.001736319,0.144128114,0.274390244,0.642585551,0.362068966,0.536821705,0.951033732,0.88951522,0.371710526,0.003236246,0.019607843,0.006993007,0.069705094,0.025062657,0.487623762,0.002720327,0.002941354,0.664206642,0.00125367,0.286780684,0.274879952,0.258005473,0.488448035,0.3760783,0.445471615,0.126421866,0.531020408,0.157633538,0.169910546
1027,0,0,0.498876404,0.507865169,0.493181818,0.078598163,0.001163717,0.120996441,0.286585366,0.479087452,0.416666667,0.598837209,0.964091404,0.935738444,0.276315789,0.001618123,0.028657617,0,0.013404826,0.037593985,0.638613861,0.001517953,0.001438426,0.479704797,0.000645954,0.18479505,0.285193314,0.215092151,0.302574087,0.3702561,0.433713307,0.192120601,0.558075802,0.193025989,0.226168845
1029,0,0,0.449438202,0.438202247,0.445454545,0.092548486,0.001205753,0.222419929,0.195121951,0.623574144,0.548850575,0.38372093,0.9695321,0.87373168,0.470394737,0,0.006033183,0,0.024128686,0.05764411,0.715346535,0.001605283,0.001571099,0.522140221,0.000681461,0.268732478,0.319714196,0.220003262,0.427890291,0.4027989,0.405292265,0.153635676,0.626530612,0.138370119,0.213956251
